,Risk_Free,Naive_XR,ERC_XR,Bench_6040_XR
1991-02-28,0.0048201388511142,0.030580576609776595,0.034966564675437004,0.041095734502582394
1991-03-31,0.0047964237628919,0.01977371222528533,0.026690419757864757,0.01161409791700772
1991-04-30,0.004590634665871,0.013952991162211782,0.01583054301671059,0.00038943219855985985
1991-05-31,0.004439956538087,0.013898572763582537,0.014307427915545217,0.023105010162130016
1991-06-30,0.0045272215436409,-0.03264585690305944,-0.03934151210029798,-0.0341159654852016
1991-07-31,0.0045351505923962,0.03318663443718276,0.04141905999026626,0.02733108085287164
1991-08-31,0.0043367175322408,0.04585656500677724,0.04331085941110611,0.0230289249372765
1991-09-30,0.0042492701806178,0.028023001977323908,0.02398659728637275,-0.0018951192755811402
1991-10-31,0.0040661545935285,0.014613178987241838,0.018251776797666184,0.006699338399972239
1991-11-30,0.0037228194856664,-0.010813567159297802,-0.021367167318340066,-0.02264238170726702
1991-12-31,0.003329995796502,0.08122286830184523,0.06441155322792158,0.08716359358124216
1992-01-31,0.003112816845733,-0.04359193994624877,-0.03451754326792454,-0.028508590576766864
1992-02-29,0.003145024157517,0.00681439556292398,0.0034743386886989594,0.008383996354279218
1992-03-31,0.0033058903246372,-0.019565546530792895,-0.017243379342300184,-0.01981389112870956
1992-04-30,0.0030725417032555,0.01562872881236576,0.02142550415851181,0.01536415806103204
1992-05-31,0.0029758087216387,0.03863930696733113,0.03917498224353457,0.01050809432328044
1992-06-30,0.0030000015894111,0.01634064104039723,0.010846723598833806,-0.0038779727846267598
1992-07-31,0.0026364327582906,0.0542004566826635,0.04614042445156158,0.036603772777016624
1992-08-31,0.0025716462189622,0.006185803401241274,0.00347335626533716,-0.00940729344684676
1992-09-30,0.0023932454057613,0.02887530697774474,0.028110356432946595,0.014458780530387379
1992-10-31,0.0023526510136486,-0.039539783033720216,-0.040103804161380305,-0.010102782148522801
1992-11-30,0.0025716462189622,-0.0006432100560473373,-0.001506872537835252,0.01610894019761554
1992-12-31,0.0026445278387947,0.028942884034904595,0.025642416311857007,0.014384758028202438
1993-01-31,0.0024662697723036,0.037989859647528164,0.03539299891926776,0.014072674172978722
1993-02-28,0.0024094781004899,0.04224991466520674,0.0396913264172538,0.018810771717921258
1993-03-31,0.0024257079041964,0.01516656609357502,0.018702454231603837,0.01247142692645176
1993-04-30,0.002360771338929,-0.004990509128826466,-0.010050773740420441,-0.015122599888098122
1993-05-31,0.002433821722253,-0.00383131286710105,-0.007243864958612821,0.012667647099417602
1993-06-30,0.0025230260752062,0.031734428961850324,0.01977045161788722,0.012293553972198982
1993-07-31,0.0024987062733237,0.00042399567227034593,-0.002845296182354113,-0.0036258896699657398
1993-08-31,0.0024824894659052,0.0539213219525957,0.051203455588281564,0.03402625508969146
1993-09-30,0.0024257079041964,0.0030971126504197722,0.0016584803992037136,-0.0034628728656309602
1993-10-31,0.0024824894659052,-0.0031531007239518675,-0.008833439060591933,0.011003079599776658
1993-11-30,0.0025473393892132,-0.04631614386254544,-0.05099253225296975,-0.018163638856300582
1993-12-31,0.0025149201956327,0.0005890939300024192,-0.002208817232438977,0.006910493222818439
1994-01-31,0.0024500471914443,0.04674173355927603,0.05396595470347176,0.024071620202462916
1994-02-28,0.0026688087676296,-0.04672058478210872,-0.04545462526794236,-0.03013018824620184
1994-03-31,0.0028708987190766,-0.05103305349694907,-0.0488884698916582,-0.044573360112282606
1994-04-30,0.0030161266025487,-0.005971202680578276,-0.001475646457291643,-0.0011319916907488211
1994-05-31,0.0033862171355991,0.0014280326037991872,0.0034121396988158518,0.0058381901366415
1994-06-30,0.0033862171355991,-0.008229723020693767,-0.005613987937158622,-0.020343508091921217
1994-07-31,0.0035386434752657,0.028648048554707255,0.028517751192596634,0.02490938167061754
1994-08-31,0.0036588004233741,-0.012634785286310847,-0.021314033901126343,0.021469870828171218
1994-09-30,0.0037708043235686,-0.03425218066476718,-0.03348190577216281,-0.027780293535725954
1994-10-31,0.0040342708735832,-0.002465306641588048,-0.0009784815299857476,0.0068798885789288205
1994-11-30,0.0043049281853966,-0.027020784697107284,-0.032012849972981004,-0.02625519293353214
1994-12-31,0.0045510066248739,0.016235675516578573,0.019443352670010995,0.008854696852239299
1995-01-31,0.0046381656285388,0.011379320423209932,0.008626241700914215,0.02011315258149788
1995-02-28,0.0046856718676875,0.027725827852255993,0.026395024841271042,0.03187367874037736
1995-03-31,0.0046540037873179,0.01268021640511025,0.013127457054006194,0.01600799790033392
1995-04-30,0.004590634665871,0.020770900525304524,0.021724260098816586,0.0191963844682136
1995-05-31,0.004606481068812,0.04410933939018875,0.03982297899925597,0.04426774760428708
1995-06-30,0.0044478931673448,0.00396968613756127,0.0021106005617239493,0.014271435530716858
1995-07-31,0.0044082031209211,0.003944483153233686,0.006531293272799809,0.010657949889416523
1995-08-31,0.0043923222705009,0.012126221465843069,0.012267637627509086,0.004261079577659239
1995-09-30,0.0042969791189388,0.0163693994162733,0.01594635824711757,0.0263670213471158
1995-10-31,0.0042969791189388,0.0074513459752188985,0.00690395207976197,-0.00018472891943305866
1995-11-30,0.0043605522809628,0.028904163717838494,0.029525375303931223,0.032098929562604225
1995-12-31,0.0041856194553282,0.03746002526239324,0.04285056267781535,0.014774405027449419
1996-01-31,0.0040741237836483,0.007432521691357351,0.007509980520745339,0.017702380491411138
1996-02-29,0.0039385528336748,-0.016609259791196717,-0.011547988033723675,-0.012003634930494982
1996-03-31,0.0040422428477437,0.0042103990640329145,0.009123653628525201,-0.002329848083131499
1996-04-30,0.0040342708735832,0.000552756455129618,0.005675661909994014,-0.002226548033732222
1996-05-31,0.0040900600769369,-0.0022060659756632825,-0.002773381079721462,0.008221895502766478
1996-06-30,0.0041458152037889,0.014206054793527297,0.016037695283634582,0.003927829575704439
1996-07-31,0.0041935782233755,-0.025911429245644886,-0.028935539027309505,-0.03039385615223908
1996-08-31,0.004113959301397,0.003425002399920915,0.005689734513562376,0.006324319852526981
1996-09-30,0.0041458152037889,0.03421182860886593,0.034656780799470384,0.03888394456295488
1996-10-31,0.0040661545935285,0.025226689008738062,0.02290156234146783,0.0249738281195317
1996-11-30,0.0040980271803598,0.05176154059132931,0.05456108252732861,0.052565552428068305
1996-12-31,0.0040023760123895,-0.022742524762505396,-0.02089628018958892,-0.02455092016189194
1997-01-31,0.0040980271803598,0.008167547639002995,0.006460451275200702,0.03271619334281794
1997-02-28,0.0040820922780753,-0.016706755713322273,-0.02184826283537117,0.0019512234017394006
1997-03-31,0.0041856194553282,-0.02729094155445543,-0.02458768905115443,-0.0368702988692714
1997-04-30,0.004201536297631,0.031150381591383995,0.03124693423219428,0.03964925238979202
1997-05-31,0.004113959301397,0.02024540898923328,0.019732630621334582,0.03610873039749614
1997-06-30,0.0040183248361511,0.009594961487757396,0.0043247655484706495,0.02969698115007072
1997-07-31,0.004113959301397,0.06057023545458161,0.05966506722666727,0.060272760442190064
1997-08-31,0.0041856194553282,-0.030836304459096756,-0.027256968698005403,-0.045128053169489306
1997-09-30,0.0040342708735832,0.03345672042181662,0.03348191838720388,0.03738804890443236
1997-10-31,0.0040502141257032,0.010867094936258141,0.01208001736159982,-0.013753762196932758
1997-11-30,0.0041856194553282,-0.015730287464367016,-0.025245868919822917,0.024890500192843855
1997-12-31,0.004201536297631,-0.00482947211729995,-0.011752378701972129,0.011307425110699279
1998-01-31,0.0041059935884708,0.010364957146518774,0.007354398767701827,0.011092841113476139
1998-02-28,0.0041458152037889,-0.0031067064764950855,-0.007978939040092852,0.03819939998502456
1998-03-31,0.0040980271803598,0.009155384950050211,0.009315364633316288,0.026920624946280676
1998-04-30,0.0040342708735832,-0.004470793802935681,-0.006848627887576817,0.0035201206298416396
1998-05-31,0.0040741237836483,-0.0065131216419640455,-0.012134976452222234,-0.008955071083485519
1998-06-30,0.0040581847075893,0.009045758339271936,0.0060516032198066234,0.025720989268991662
1998-07-31,0.0040422428477437,-0.025461724628084433,-0.03075369353686804,-0.010504464991187939
1998-08-31,0.0039944005553169,-0.03200689764506543,-0.04075089633836975,-0.07500338560977883
1998-09-30,0.0037628086026935,0.08713794371101216,0.08874622233617532,0.05579876503727406
1998-10-31,0.0032415779026344,-0.012281341878410283,-0.01091755950314662,0.04087528429101831
1998-11-30,0.0036027468730472,-0.007943918672799716,-0.012090441839669964,0.031195774129401617
1998-12-31,0.0035867252456669,0.014007184334611601,0.01436374719944116,0.03531674387240072
1999-01-31,0.0035466588636137,0.013832790136780152,0.013936480459411784,0.022709757025873738
1999-02-28,0.0036267740400885,-0.07027828472475726,-0.06803775351857301,-0.04007193574295265
1999-03-31,0.0036267740400885,0.048872069647335196,0.055034558541574886,0.02323474554224488
1999-04-30,0.0035065748777713,0.010298923515604215,0.012547786895463164,0.01806042518919694
1999-05-31,0.0036748094004368,-0.04316639690315367,-0.042539233849266875,-0.02465472223009428
1999-06-30,0.0037308187111868,0.00866775102429553,0.013123558217251377,0.02625516736729706
1999-07-31,0.0037148195588312,-0.013905621368411902,-0.012474028613636933,-0.023948434515175483
1999-08-31,0.00385072302357,0.0026511821081585027,0.0054533074064265835,-0.006824626574650949
1999-09-30,0.0038187639418887,0.011282816665924286,0.011081500359917265,-0.016087770005414302
1999-10-31,0.0039624917561102,-0.002473801420055866,-0.0021955295054865874,0.03226481454393716
1999-11-30,0.004129888642202,0.0010472292669407648,0.0036201982506168556,0.005273794673102459
1999-12-31,0.0042333616592649,0.00112340883042542,0.006300359768129018,0.02523524456764348
2000-01-31,0.0043287712331259,-0.016657255047112563,-0.01465725270480713,-0.039002904239969945
2000-02-29,0.0045113613804723,0.019822397087119036,0.020407416970478612,-0.006332172680396158
2000-03-31,0.0046223247227021,0.041928341414062195,0.04289557256882144,0.06749714050768653
2000-04-30,0.004598558211035,-0.03694333997837744,-0.03486130031877265,-0.026727508638978884
2000-05-31,0.0047015017912679,0.0017653753815331306,0.007481760193155281,-0.01689925744314258
2000-06-30,0.0046223247227021,0.04870893664897385,0.04795261058304683,0.0197364728032406
2000-07-31,0.0048359454901756,-0.014244092534864984,-0.0195449791441906,-0.012649709180109776
2000-08-31,0.0049386220311968,0.06276974385063155,0.06864598740245823,0.0433907230935534
2000-09-30,0.004867550565343,-0.017284840985320096,-0.020499830899624205,-0.0368529025926196
2000-10-31,0.004954408184481,-0.007696065349475603,-0.007204406861770262,-0.00476485898447254
2000-11-30,0.0050017502848112,0.018085901454908054,0.014259822631421329,-0.04163657445684702
2000-12-31,0.0046856718676875,0.029625019562324034,0.025376352883476436,0.011113173670210159
2001-01-31,0.0041935782233755,0.017237732653251427,0.013846871556414075,0.016724047415461837
2001-02-28,0.0039784475501516,-0.005895759858504325,-0.012881478807745678,-0.048586024406809356
2001-03-31,0.0036107566318024,-0.019750185451600108,-0.024306968195200937,-0.040248663219222054
2001-04-30,0.0031691721789193,-0.0037625506729717356,0.00287652787337404,0.03238906748522486
2001-05-31,0.0029677430057029,-0.00045548386025434006,-0.0016792462246837483,0.0005233175500492992
2001-06-30,0.0028628237165644,-0.01765970642973125,-0.020076792175292724,-0.015255792782691959
2001-07-31,0.0028789730064431,0.043601747399701386,0.038142501520084866,0.00399409452147354
2001-08-31,0.0027577835453318,0.006286713062446918,0.002030330587662816,-0.03167101332757376
2001-09-30,0.0021738205225527,-0.026274267131921353,-0.03415395662764288,-0.0409276691836063
2001-10-31,0.001782422107218,0.03523349728624975,0.03141239891969864,0.02102714515862502
2001-11-30,0.0015451345433195,-0.026068442252088025,-0.022186236263531982,0.031071228148727276
2001-12-31,0.0013975409693907,-0.021600722817791074,-0.01989273848809938,-0.0033237177005975595
2002-01-31,0.0013647098773525,-0.004447423783965351,-0.006035017015012702,-0.00823514948912456
2002-02-28,0.0014221565206407,0.019503648175800564,0.01788540682070271,-0.005241625174548799
2002-03-31,0.0014795669370546,-0.01586426336861008,-0.009140061849627314,0.006397605127823419
2002-04-30,0.0014139520764002,0.017156763254157204,0.012375466433653082,-0.026251424262672518
2002-05-31,0.0014303602255574,0.0048061420946454644,0.0015933845431887333,-0.0029710403760895994
2002-06-30,0.0014057468926966,-0.0004042271309151677,-0.003261136108197985,-0.03531139801926583
2002-07-31,0.0013893343063426,-0.0003862569780350908,-0.004470305133662038,-0.03508582801061792
2002-08-31,0.001340078785663,0.06991549052901341,0.06750521072174961,0.0163599403536333
2002-09-30,0.0013482898900922,0.032069431893386,0.02255491541549003,-0.04797002829408529
2002-10-31,0.0013072269593599,-0.020879645500543116,-0.011463632949987574,0.043356293225998134
2002-11-30,0.0010192665680117,0.016314269268167068,0.018945156800117775,0.026573094164571813
2002-12-31,0.0009862987191306,0.06592595984428147,0.05508928826085599,-0.021629935964811636
2003-01-31,0.000969810314674,0.008880370257242632,0.005478588133755517,-0.02054097798484298
2003-02-28,0.000969810314674,0.06356135741636143,0.058089255988471304,0.0013372319971556806
2003-03-31,0.0009368245400691,-0.03345740743477688,-0.03134250677168638,0.0026227743689515
2003-04-30,0.0009368245400691,0.02573405591883291,0.03470697326960018,0.04824419992476136
2003-05-31,0.0008873234469353,0.09535501500052163,0.09828853169320176,0.04989772054305629
2003-06-30,0.0007634527638813,-0.006120275523072289,-0.005054472706504652,0.0028300476562012605
2003-07-31,0.0007469239231387,-0.08208214875288847,-0.07563244440201045,-0.01871413879874208
2003-08-31,0.0007882403958696,0.021465851644623325,0.022443318356342543,0.01406507181867668
2003-09-30,0.0007799786022335,0.04038398292452644,0.03398098502891929,0.010774297756140302
2003-10-31,0.0007634527638813,-0.00485282611738576,0.00382946814649335,0.023122216677834196
2003-11-30,0.0007717160582849,0.011659031122652465,0.012201712617847022,0.00601796807502958
2003-12-31,0.0007469239231387,0.03930345512701953,0.044018541273976614,0.034844190079385814
2004-01-31,0.0007303920788652,0.01873862903916812,0.01970279184216304,0.0156720757602564
2004-02-29,0.0007717160582849,0.03477206095477359,0.03486459857121297,0.014931256861553641
2004-03-31,0.0007799786022335,0.013427810009794318,0.01042421018531952,-0.0037765605802047783
2004-04-30,0.0007799786022335,-0.04507314251655768,-0.04453921582334506,-0.02978612695618924
2004-05-31,0.0008460519545316,0.0031261242260271966,0.005970091955568542,0.00513799335897416
2004-06-30,0.0010522224777222,0.0006602291479226483,0.0020771015910145347,0.013751396372354799
2004-07-31,0.0011016339761076,0.019159640174136856,0.014393988785878343,-0.015302208632820441
2004-08-31,0.001225045484541,0.02276509008649859,0.01973052352596372,0.014971702020879078
2004-09-30,0.0013647098773525,0.0286481697332632,0.030821078354375253,0.006488911326654519
2004-10-31,0.001454966905757,0.02055404902734685,0.02218468040626946,0.01231307890947336
2004-11-30,0.0017088472872288,-0.01700616181926471,-0.01065226962741626,0.014262747672965956
2004-12-31,0.0018069338440696,0.0024871523993312138,0.002946716400687615,0.024173033029621458
2005-01-31,0.0019212348036832,0.01296972790079722,0.009986602136279443,-0.01172237977833048
2005-02-28,0.0020924177544194,0.0028064446000896103,0.008343834153576027,0.005036807057107479
2005-03-31,0.0022551506231971,-0.005084776277457559,-0.0037776805657387946,-0.01573014053769788
2005-04-30,0.0022876623469241,-0.0037473598290522353,-0.01209671920090237,-0.0026929565459817787
2005-05-31,0.0023364081918575,0.01992073616252934,0.02185482850864097,0.02509630179789664
2005-06-30,0.0024419348179574,0.015319999368982437,0.016105351460607504,0.0018137365128202995
2005-07-31,0.0026445278387947,-0.0017012167061074657,0.0073629337829084415,0.010152167044287976
2005-08-31,0.0028224379721812,0.03663284313859698,0.03783278513722644,0.0016376034510933602
2005-09-30,0.0028062786637694,-0.02031448322262222,-0.016304219265783612,-0.0067515320434250806
2005-10-31,0.0030403087768253,-0.03237471968798566,-0.03703371072023479,-0.01881074984622336
2005-11-30,0.0031772200986699,0.007667702267302368,0.010188966720945793,0.023599356372406517
2005-12-31,0.0031852673082803,0.0080078748637922,0.007398443954814412,0.0017225632560594409
2006-01-31,0.0034664732719604,0.004656684101874126,0.008931535135528489,0.009471488201620219
2006-02-28,0.00361876568744,-0.011550083469222613,-0.014289202071143777,-0.0011447546242866397
2006-03-31,0.0036828128357737,-0.007299406001490927,-0.003435246455091589,-0.004352695371496181
2006-04-30,0.0037548121811461,0.0011704358757149635,0.004669118135240722,-0.000504705089496581
2006-05-31,0.00385072302357,-0.013513671259755295,-0.01567398667254872,-0.0209350309546003
2006-06-30,0.00390662449984,-0.0018807134568879804,-0.001624985781218549,-0.00229484681182076
2006-07-31,0.0040342708735832,0.010581189150900167,0.009913968390884523,0.006379414589655819
2006-08-31,0.0040422428477437,0.011028510813011583,0.008977397491703907,0.01975543055566732
2006-09-30,0.0039225900629809,0.0008210337711140403,-0.0011676238148827529,0.01628906381817212
2006-10-31,0.0040103507726252,0.008348762660723803,0.009371034681077747,0.018053413325019443
2006-11-30,0.0040262982030947,0.018490539956142436,0.01974438184246417,0.0136836654981533
2006-12-31,0.0039545128129423,-0.017900627995638192,-0.017339951146190268,-0.00190819897172904
2007-01-31,0.0040581847075893,-0.004191503024885415,-0.0032060531592742803,0.002831414580553359
2007-02-28,0.0040980271803598,0.011429120178413871,0.007963027768631647,-0.005674143142357258
2007-03-31,0.0040262982030947,-0.002340764281395811,0.0003934610611425998,0.00141803280090364
2007-04-30,0.0039704700018041,0.013674951367611496,0.017084299725162254,0.02484387839906918
2007-05-31,0.0038587110455146,-0.008328890496491057,-0.0018950875569804183,0.010227490763683279
2007-06-30,0.0037628086026935,-0.011482480669444328,-0.012127664294261507,-0.01607529449913276
2007-07-31,0.0039305717973199,0.001616688843979261,-0.0024957895112645346,-0.012952494130735917
2007-08-31,0.0034343792900468,0.009670867609040021,0.008104046028565338,0.014894640495823737
2007-09-30,0.0031852673082803,0.018398006990047205,0.024418532996659605,0.01935882638022472
2007-10-31,0.0031933138078821,0.020088858179877603,0.022289011678325196,0.011527401316949421
2007-11-30,0.0026849924609559,0.004168087369249786,-0.004145600898390098,-0.009394480598512018
2007-12-31,0.0024662697723036,-0.0008577517756677923,-0.00026265782360624333,-0.0072801149465039
2008-01-31,0.00226327964177,0.0006144731286868555,-0.006059449767061796,-0.024257370984171855
2008-02-29,0.0017497295255153,0.006792489615646895,0.004850302901318386,-0.0148437553665582
2008-03-31,0.0010439846190974,-0.008771655608291488,-0.0068619934724878096,0.0007313895816838402
2008-04-30,0.0010686959582126,0.014267432174561097,0.019163621286431246,0.019170836802419537
2008-05-31,0.0014303602255574,-0.0028033268302183148,0.00035326996958853676,-0.0014669981875881596
2008-06-30,0.0015369411743291,-0.013035118528177824,-0.02048685344416975,-0.048158473604883685
2008-07-31,0.0013482898900922,-0.024082458032116828,-0.024427050557219828,-0.00468542196155032
