"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","3,887.3540","3,930.0491","4,026.9314","3,881.0737","","-1.04%"
"11/01/2025","3,928.0979","3,940.0583","4,009.9116","3,813.2268","","-0.07%"
"10/01/2025","3,931.0439","3,880.5007","3,972.9976","3,786.8433","","1.35%"
"09/01/2025","3,878.6819","3,858.9233","3,973.6194","3,804.3225","","0.65%"
"08/01/2025","3,853.7100","3,862.0476","3,870.9524","3,708.0847","","-0.20%"
"07/01/2025","3,861.5911","3,728.8203","3,901.9863","3,715.8098","","3.62%"
"06/01/2025","3,726.8540","3,570.3711","4,053.2825","3,570.3711","","4.48%"
"05/01/2025","3,567.0791","3,508.4141","3,683.7500","3,459.9082","","1.59%"
"04/01/2025","3,511.2380","3,835.2944","3,863.1370","3,327.9988","","-8.43%"
"03/01/2025","3,834.6809","3,734.7429","3,837.9421","3,651.5964","","2.90%"
"02/01/2025","3,726.4561","3,820.8877","3,906.0369","3,723.5979","","-1.34%"
"01/01/2025","3,777.2300","3,661.2800","3,918.4800","3,659.2500","","3.32%"
"12/01/2024","3,655.9900","3,534.4700","3,668.7300","3,505.2000","","3.28%"
"11/01/2024","3,539.9529","3,551.6289","3,635.5381","3,464.9150","","0.06%"
"10/01/2024","3,537.7939","3,521.9392","3,753.8806","3,474.9973","","0.45%"
"09/01/2024","3,521.7700","3,526.5923","3,594.7634","3,307.0166","","-0.08%"
"08/01/2024","3,524.6289","3,587.1953","3,615.7498","3,396.1538","","-1.72%"
"07/01/2024","3,586.4319","3,719.0835","3,810.0049","3,497.0564","","-3.52%"
"06/01/2024","3,717.3931","3,664.0203","3,762.9419","3,555.3467","","1.43%"
"05/01/2024","3,665.0950","3,730.5828","3,806.3679","3,634.4856","","-1.90%"
"04/01/2024","3,736.1379","3,696.8591","3,857.4446","3,678.0862","","1.16%"
"03/01/2024","3,693.3279","3,526.8733","3,696.5608","3,516.7322","","4.73%"
"02/01/2024","3,526.5400","3,496.0854","3,553.4756","3,378.5801","","0.87%"
"01/01/2024","3,496.0569","3,348.5537","3,564.9241","3,287.3350","","4.47%"
"12/01/2023","3,346.5840","3,461.9087","3,479.7397","3,218.9790","","-3.31%"
"11/01/2023","3,461.1140","3,596.8967","3,668.3281","3,389.3711","","-3.64%"
"10/01/2023","3,592.0391","3,750.2849","3,776.9304","3,515.7913","","-4.18%"
"09/01/2023","3,748.9221","3,601.2598","3,832.8943","3,599.6814","","4.12%"
"08/01/2023","3,600.7219","3,579.4653","3,640.7131","3,471.5005","","0.60%"
"07/01/2023","3,579.3579","3,231.2246","3,581.4109","3,209.1013","","10.74%"
"06/01/2023","3,232.3459","3,096.8569","3,345.6731","3,086.5818","","4.39%"
"05/01/2023","3,096.3979","3,299.1667","3,299.1667","3,057.8274","","-6.11%"
"04/01/2023","3,297.8059","3,417.9290","3,487.7583","3,222.3801","","-0.76%"
"03/01/2023","3,323.0129","3,355.7002","3,450.9680","3,062.2156","","-1.07%"
"02/01/2023","3,359.0801","3,493.1565","3,509.0205","3,256.1279","","-3.83%"
"01/01/2023","3,492.7080","3,500.1616","3,582.2117","3,263.9661","","-0.09%"
"12/01/2022","3,495.7649","3,549.2314","3,610.4189","3,249.9387","","-1.38%"
"11/01/2022","3,544.6770","3,602.9102","3,809.3491","3,372.3755","","-1.71%"
"10/01/2022","3,606.1790","3,403.6338","3,759.5632","3,403.6338","","6.70%"
"09/01/2022","3,379.5811","3,665.5442","3,682.9475","3,290.0825","","-7.80%"
"08/01/2022","3,665.5381","3,767.0715","3,869.6929","3,481.0513","","-2.68%"
"07/01/2022","3,766.4241","3,768.2007","3,882.4829","3,436.9077","","-0.04%"
"06/01/2022","3,768.0171","4,083.9351","4,319.5518","3,768.0171","","-7.64%"
"05/01/2022","4,079.8479","3,880.4614","4,219.2715","3,713.4624","","5.07%"
"04/01/2022","3,882.9910","3,693.9392","4,022.3594","3,580.0479","","5.12%"
"03/01/2022","3,693.8770","3,371.7695","4,310.0200","3,371.7695","","9.63%"
"02/01/2022","3,369.3010","3,099.4851","3,504.2737","3,073.5332","","8.77%"
"01/01/2022","3,097.5291","2,780.1526","3,120.3398","2,761.3740","","11.63%"
"12/01/2021","2,774.7261","2,585.5637","2,832.9387","2,512.3191","","7.59%"
"11/01/2021","2,578.9380","2,891.8528","2,924.5183","2,549.1372","","-10.82%"
"10/01/2021","2,891.9509","2,733.4263","2,949.1587","2,720.6541","","5.80%"
"09/01/2021","2,733.4890","2,577.8958","2,769.8486","2,545.5703","","6.03%"
"08/01/2021","2,577.9529","2,637.6548","2,639.2898","2,414.7678","","-2.30%"
"07/01/2021","2,638.6890","2,597.9036","2,663.4087","2,458.0295","","1.57%"
"06/01/2021","2,597.7930","2,496.6621","2,608.3899","2,483.0210","","4.29%"
"05/01/2021","2,490.8621","2,430.2524","2,545.7837","2,395.7883","","2.52%"
"04/01/2021","2,429.5950","2,244.4287","2,458.9890","2,213.7246","","8.23%"
"03/01/2021","2,244.8320","2,309.1448","2,408.9534","2,200.9939","","-2.15%"
"02/01/2021","2,294.2510","2,077.8865","2,371.8169","2,075.4233","","10.58%"
"01/01/2021","2,074.6980","1,978.9222","2,113.1072","1,962.7363","","4.94%"
"12/01/2020","1,976.9550","1,866.2725","1,978.1934","1,842.0295","","5.97%"
"11/01/2020","1,865.5670","1,633.1421","1,884.2472","1,627.6233","","12.04%"
"10/01/2020","1,665.0820","1,726.2736","1,785.4669","1,637.0370","","-3.57%"
"09/01/2020","1,726.8101","1,792.3976","1,814.0826","1,659.7554","","-3.64%"
"08/01/2020","1,792.0280","1,716.0448","1,816.6423","1,701.0416","","4.59%"
"07/01/2020","1,713.4640","1,654.5015","1,746.1290","1,646.9144","","3.80%"
"06/01/2020","1,650.7900","1,570.0883","1,693.1338","1,547.9086","","5.09%"
"05/01/2020","1,570.8240","1,358.5692","1,575.0006","1,322.1621","","16.37%"
"04/01/2020","1,349.8170","1,490.5623","1,657.6578","1,193.3733","","-9.67%"
"03/01/2020","1,494.3430","2,116.0393","2,235.9104","1,458.6465","","-29.43%"
"02/01/2020","2,117.3940","2,300.1926","2,400.9656","2,091.7515","","-8.39%"
"01/01/2020","2,311.2939","2,595.2949","2,693.5342","2,299.6270","","-10.82%"
"12/01/2019","2,591.8611","2,429.6851","2,634.1223","2,419.7183","","6.99%"
"11/01/2019","2,422.5730","2,423.2712","2,518.4629","2,411.7209","","-0.01%"
"10/01/2019","2,422.8760","2,393.9861","2,482.5522","2,194.6931","","1.24%"
"09/01/2019","2,393.0901","2,352.9175","2,591.8943","2,301.5706","","1.75%"
"08/01/2019","2,351.9509","2,483.0564","2,483.0564","2,278.1895","","-5.62%"
"07/01/2019","2,492.0759","2,514.6750","2,572.5835","2,420.3232","","-0.21%"
"06/01/2019","2,497.3650","2,392.0374","2,540.5879","2,316.3545","","4.43%"
"05/01/2019","2,391.4150","2,604.9995","2,623.9392","2,387.0146","","-8.21%"
"04/01/2019","2,605.4089","2,536.1389","2,675.1494","2,536.0298","","2.85%"
"03/01/2019","2,533.2329","2,493.0242","2,569.7654","2,424.6882","","1.61%"
"02/01/2019","2,493.1140","2,401.6938","2,522.4578","2,362.1233","","3.81%"
"01/01/2019","2,401.5349","2,209.3081","2,443.8403","2,175.8120","","8.99%"
"12/01/2018","2,203.4690","2,407.0339","2,485.7205","2,153.4285","","-7.75%"
"11/01/2018","2,388.6331","2,689.0525","2,701.7556","2,350.8286","","-11.28%"
"10/01/2018","2,692.3560","2,861.8689","2,966.8569","2,686.5105","","-5.84%"
"09/01/2018","2,859.4431","2,754.7922","2,871.8950","2,681.3894","","3.93%"
"08/01/2018","2,751.3501","2,722.0674","2,766.4109","2,600.2256","","1.08%"
"07/01/2018","2,722.0249","2,815.1438","2,816.5398","2,623.2961","","-3.53%"
"06/01/2018","2,821.6460","2,785.2771","2,827.5859","2,647.1531","","1.36%"
"05/01/2018","2,783.9180","2,744.3423","2,878.3281","2,706.3918","","1.45%"
"04/01/2018","2,744.2019","2,614.6865","2,765.5171","2,534.5759","","5.04%"
"03/01/2018","2,612.6030","2,555.9419","2,640.1045","2,516.9373","","2.22%"
"02/01/2018","2,555.8230","2,645.6597","2,677.2842","2,451.6699","","-3.34%"
"01/01/2018","2,644.1270","2,558.6177","2,697.1909","2,551.9209","","3.42%"
"12/01/2017","2,556.7080","2,449.6736","2,561.9138","2,388.4436","","4.41%"
"11/01/2017","2,448.6631","2,416.5017","2,504.5894","2,403.8923","","1.38%"
"10/01/2017","2,415.2820","2,326.3560","2,421.0610","2,273.1519","","3.82%"
"09/01/2017","2,326.4561","2,249.7759","2,365.9690","2,233.9900","","3.32%"
"08/01/2017","2,251.6650","2,270.3301","2,280.2258","2,168.4524","","-0.78%"
"07/01/2017","2,269.2939","2,169.9941","2,271.7312","2,118.5098","","4.58%"
"06/01/2017","2,169.8130","2,213.2307","2,230.3843","2,045.2152","","-1.92%"
"05/01/2017","2,212.3279","2,247.2766","2,312.0974","2,119.4514","","-1.54%"
"04/01/2017","2,246.8459","2,295.3718","2,369.0916","2,213.9075","","-2.11%"
"03/01/2017","2,295.1870","2,388.1687","2,407.4565","2,210.1118","","-3.91%"
"02/01/2017","2,388.6951","2,383.0559","2,433.6921","2,358.9883","","0.23%"
"01/01/2017","2,383.1570","2,417.4082","2,451.3989","2,347.3345","","-1.41%"
"12/01/2016","2,417.3110","2,304.3884","2,443.5945","2,302.3262","","4.72%"
"11/01/2016","2,308.4600","2,267.7317","2,321.1331","2,118.0090","","2.53%"
"10/01/2016","2,251.3879","2,284.9097","2,377.8125","2,248.0447","","-1.50%"
"09/01/2016","2,285.6079","2,196.5176","2,293.9126","2,150.6489","","4.14%"
"08/01/2016","2,194.6479","2,151.5559","2,344.4790","2,092.9961","","1.77%"
"07/01/2016","2,156.4980","2,388.5388","2,403.1169","2,117.4639","","-9.57%"
"06/01/2016","2,384.6609","2,377.5083","2,509.4526","2,311.0864","","0.08%"
"05/01/2016","2,382.7510","2,325.0034","2,408.7888","2,204.1028","","2.22%"
"04/01/2016","2,331.0449","2,113.6765","2,350.8567","2,022.7810","","10.14%"
"03/01/2016","2,116.4360","2,017.1981","2,229.8787","1,998.6553","","4.93%"
"02/01/2016","2,016.9890","2,047.5879","2,059.6675","1,868.7585","","-2.01%"
"01/01/2016","2,058.3779","2,181.2742","2,211.5542","1,837.4078","","-5.17%"
"12/01/2015","2,170.6150","2,377.3235","2,397.1980","2,114.0447","","-8.63%"
"11/01/2015","2,375.6211","2,605.5925","2,658.9922","2,342.5857","","-8.97%"
"10/01/2015","2,609.5959","2,614.4646","2,783.7134","2,511.6682","","0.23%"
"09/01/2015","2,603.6221","2,779.5022","2,779.5022","2,566.0752","","-6.33%"
"08/01/2015","2,779.4680","2,767.5317","2,783.1489","2,439.2336","","0.30%"
"07/01/2015","2,771.1670","3,214.8225","3,217.1843","2,761.4929","","-14.10%"
"06/01/2015","3,226.1169","3,224.0049","3,299.5518","3,116.2024","","-0.11%"
"05/01/2015","3,229.7429","3,295.9114","3,392.4817","3,119.2085","","-1.99%"
"04/01/2015","3,295.2190","2,964.3303","3,298.0945","2,957.7705","","11.06%"
"03/01/2015","2,967.1211","3,184.7114","3,184.7947","2,866.1213","","-6.81%"
"02/01/2015","3,183.7920","2,990.7542","3,239.2842","2,950.7031","","6.47%"
"01/01/2015","2,990.4519","3,232.9639","3,259.4160","2,856.0955","","-7.50%"
"12/01/2014","3,232.7981","3,719.8418","3,836.8711","3,209.3877","","-13.63%"
"11/01/2014","3,742.9800","4,201.1719","4,224.4409","3,734.9812","","-10.92%"
"10/01/2014","4,201.8379","4,472.2583","4,517.9370","4,103.6563","","-5.98%"
"09/01/2014","4,469.2671","4,751.7065","4,751.7065","4,460.9175","","-6.02%"
"08/01/2014","4,755.7451","4,832.1167","4,848.9629","4,654.9155","","-1.64%"
"07/01/2014","4,835.0171","5,106.2261","5,115.8457","4,828.3330","","-5.30%"
"06/01/2014","5,105.4639","4,996.4580","5,213.7236","4,950.4355","","2.12%"
"05/01/2014","4,999.6182","5,006.8257","5,085.0229","4,963.3960","","-0.18%"
"04/01/2014","5,008.4048","4,969.8433","5,092.3911","4,861.5830","","0.74%"
"03/01/2014","4,971.5352","4,969.4941","5,070.2539","4,876.4336","","0.14%"
"02/01/2014","4,964.5962","4,747.5581","5,003.8301","4,715.1938","","4.51%"
"01/01/2014","4,750.4351","4,833.1001","4,850.3999","4,615.0000","","-1.64%"
"12/01/2013","4,829.4668","4,742.8999","4,908.0000","4,725.0000","","1.93%"
"11/01/2013","4,738.1450","4,775.5000","4,789.5000","4,630.6001","","-0.78%"
"10/01/2013","4,775.3721","4,845.6001","4,940.7998","4,755.8999","","-1.44%"
"09/01/2013","4,845.2832","5,018.3999","5,074.6001","4,813.7002","","-3.39%"
"08/01/2013","5,015.3872","4,854.2998","5,155.7998","4,742.6001","","3.38%"
"07/01/2013","4,851.5962","4,623.8999","4,969.5000","4,609.2002","","4.91%"
"06/01/2013","4,624.3672","4,615.6001","4,821.7002","4,573.5000","","0.23%"
"05/01/2013","4,613.5908","4,658.2998","4,769.8999","4,560.3999","","-1.49%"
"04/01/2013","4,683.3311","4,900.2998","4,922.7002","4,472.8999","","-4.73%"
"03/01/2013","4,915.8550","4,869.6001","4,947.1001","4,800.7998","","0.77%"
"02/01/2013","4,878.3081","5,106.3999","5,148.5000","4,865.1001","","-4.39%"
"01/01/2013","5,102.0459","4,909.2998","5,115.2998","4,857.0000","","4.36%"
"12/01/2012","4,889.0098","4,936.6001","4,974.3999","4,763.3999","","-0.65%"
"11/01/2012","4,920.9150","4,845.6001","4,938.2002","4,733.1001","","1.48%"
"10/01/2012","4,849.2910","5,040.1001","5,131.1001","4,813.7998","","-4.07%"
"09/01/2012","5,054.8081","5,172.6001","5,309.0000","4,910.3999","","-1.42%"
"08/01/2012","5,127.7368","4,812.1001","5,183.2002","4,766.3999","","6.37%"
"07/01/2012","4,820.8789","4,510.2998","4,965.5000","4,463.7998","","6.37%"
"06/01/2012","4,532.0298","4,471.2002","4,541.5000","4,200.1001","","1.20%"
"05/01/2012","4,478.2300","5,141.1001","5,177.3999","4,465.6001","","-12.98%"
"04/01/2012","5,146.0889","5,191.7002","5,273.2002","5,019.0000","","-0.51%"
"03/01/2012","5,172.6392","5,296.6001","5,402.2002","5,113.8999","","-2.35%"
"02/01/2012","5,297.1348","5,005.7998","5,389.5000","4,941.2998","","6.06%"
"01/01/2012","4,994.3071","4,929.7002","5,101.8999","4,895.7002","","2.23%"
"12/01/2011","4,885.2559","4,996.7998","5,053.8999","4,646.3999","","-2.11%"
"11/01/2011","4,990.4268","4,914.2002","5,112.2998","4,769.0000","","1.42%"
"10/01/2011","4,920.7222","4,457.8999","5,011.0000","4,346.6001","","9.75%"
"09/01/2011","4,483.7290","5,111.1001","5,119.5000","4,428.2002","","-12.17%"
"08/01/2011","5,104.9380","5,255.7002","5,307.5000","4,652.2910","","-1.84%"
"07/01/2011","5,200.8740","5,038.7998","5,342.0000","4,983.5000","","2.43%"
"06/01/2011","5,077.2490","5,374.2998","5,401.8999","4,822.2998","","-5.31%"
"05/01/2011","5,361.7080","5,736.0000","5,780.1001","4,998.1001","","-6.89%"
"04/01/2011","5,758.3691","5,531.2002","5,788.1001","5,504.6001","","4.41%"
"03/01/2011","5,515.0601","5,291.1001","5,590.3999","5,080.5000","","4.35%"
"02/01/2011","5,285.0830","5,087.5000","5,425.1001","4,942.8999","","3.75%"
"01/01/2011","5,094.2749","4,969.1001","5,112.6001","4,757.7002","","3.05%"
"12/01/2010","4,943.4141","4,528.1001","4,958.7002","4,515.2998","","9.40%"
"11/01/2010","4,518.5518","4,495.3999","4,792.2002","4,268.0000","","1.08%"
"10/01/2010","4,470.1641","4,369.2998","4,579.1001","4,349.6001","","2.56%"
"09/01/2010","4,358.7212","4,025.1001","4,366.1001","4,018.2000","","8.49%"
"08/01/2010","4,017.6919","4,285.6001","4,426.2002","3,941.3000","","-5.52%"
"07/01/2010","4,252.6411","3,979.0000","4,252.6411","3,893.3000","","5.63%"
"06/01/2010","4,025.9729","3,962.5000","4,229.6001","3,849.8000","","0.42%"
"05/01/2010","4,009.2471","4,612.8999","4,667.1001","3,765.8999","","-13.19%"
"04/01/2010","4,618.3740","4,532.7002","4,662.3999","4,461.7002","","2.77%"
"03/01/2010","4,493.6748","4,448.0000","4,521.2002","4,332.6001","","1.94%"
"02/01/2010","4,408.3560","4,180.2002","4,468.8999","4,018.2000","","5.56%"
"01/01/2010","4,176.2241","4,611.2002","4,743.8999","4,158.7002","","-7.89%"
"12/01/2009","4,534.1689","4,522.3999","4,576.0000","4,199.0000","","0.86%"
"11/01/2009","4,495.3149","4,459.2002","4,617.6001","4,299.2998","","1.52%"
"10/01/2009","4,427.8198","4,163.1001","4,797.2998","4,046.3000","","5.87%"
"09/01/2009","4,182.2090","4,199.2002","4,306.7998","3,956.2000","","0.17%"
"08/01/2009","4,175.0010","4,336.5000","4,465.7998","4,095.8999","","-2.36%"
"07/01/2009","4,276.1001","4,299.7002","4,356.1001","3,731.8999","","0.44%"
"06/01/2009","4,257.2368","4,307.2002","4,541.6001","4,023.7000","","0.57%"
"05/01/2009","4,233.0620","3,525.0000","4,246.8999","3,515.3999","","19.67%"
"04/01/2009","3,537.4221","3,517.3000","3,792.7000","3,378.0000","","-0.92%"
"03/01/2009","3,570.2200","3,349.8000","3,820.8000","3,175.8999","","4.51%"
"02/01/2009","3,416.3000","3,603.1001","3,724.6001","3,104.6001","","-6.10%"
"01/01/2009","3,638.2490","3,873.1001","4,393.8999","3,526.3000","","-8.94%"
"12/01/2008","3,995.3921","4,509.6001","4,511.3999","3,523.8000","","-13.32%"
"11/01/2008","4,609.3389","5,391.3999","5,722.0000","4,282.3999","","-14.84%"
"10/01/2008","5,412.6138","7,538.2998","7,685.2998","4,977.5000","","-28.20%"
"09/01/2008","7,538.3081","8,074.1001","9,222.1992","7,125.8999","","-12.44%"
"08/01/2008","8,609.5000","9,196.0996","9,499.5996","8,373.5000","","-7.10%"
"07/01/2008","9,267.7158","10,646.2998","10,941.6992","9,069.5000","","-12.23%"
"06/01/2008","10,558.6504","9,610.1992","10,804.7998","9,403.2998","","9.22%"
"05/01/2008","9,667.6299","8,913.5391","10,176.3994","8,615.9785","","9.10%"
"04/01/2008","8,860.9346","8,117.7300","9,223.3691","8,045.4302","","7.96%"
"03/01/2008","8,207.2617","8,322.2100","8,861.2285","7,964.0601","","-1.17%"
"02/01/2008","8,304.7744","7,445.5698","8,385.1396","7,240.7598","","11.26%"
"01/01/2008","7,464.3970","7,515.1299","7,780.0801","7,061.3999","","-0.03%"
"12/01/2007","7,466.2998","7,039.3101","7,571.9302","6,907.9502","","5.77%"
"11/01/2007","7,059.3130","7,381.1699","7,614.0298","7,047.8198","","-3.70%"
"10/01/2007","7,330.3350","6,712.5098","7,342.6099","6,432.2002","","9.61%"
"09/01/2007","6,687.8389","6,089.9102","6,797.2300","6,040.9902","","10.23%"
"08/01/2007","6,067.3979","6,316.8799","6,355.0801","5,781.5801","","-4.19%"
"07/01/2007","6,332.5308","6,014.5298","6,341.0200","5,952.1201","","5.55%"
"06/01/2007","5,999.7842","5,829.3501","6,113.3301","5,794.8901","","3.22%"
"05/01/2007","5,812.5469","5,861.6060","5,969.9600","5,664.8301","","-1.55%"
"04/01/2007","5,904.2632","5,910.9648","5,941.9531","5,763.0879","","-0.28%"
"03/01/2007","5,920.5469","5,736.1240","5,920.5469","5,511.9331","","3.23%"
"02/01/2007","5,735.0581","5,439.2002","5,764.9600","5,432.6572","","4.30%"
"01/01/2007","5,498.7749","5,611.0669","5,611.0669","5,044.7788","","-2.29%"
"12/01/2006","5,627.6411","6,043.5771","6,043.5771","5,592.4580","","-7.12%"
"11/01/2006","6,058.9072","5,746.8291","6,058.9072","5,667.8442","","5.53%"
"10/01/2006","5,741.5112","5,786.7041","5,974.3481","5,642.9419","","-2.57%"
"09/01/2006","5,892.8550","6,503.1982","6,503.1982","5,749.3101","","-10.71%"
"08/01/2006","6,599.4170","7,119.2910","7,223.2759","6,575.8071","","-7.26%"
